435221762_342248931385815042 x	@_rebelleeFleur what
435221762_341681335926153216 x	@itzbreezydoe JC was just saying how if u took ur truck u might not make it back!
435221762_340888167794229248 x	RT @_rebelleeFleur: Don't bang with people who bang with people you don't bang with because people that eat together, talk together and gue?
435221762_340765426474708992 x	@itzbreezydoe u supposed to be enjoying  ur vacation! Forget everything else
435221762_339807150467592192 x	Some people just suck and really need to come down off their high horse!
435221762_338997013997842432 x	Ooh White Castle! Coming to see u next weekend.... It's been too long :(
435221762_339445536203628545 x	@itzbreezydoe ok - we can ride together cuz its a hike!
435221762_338995841429798912 x	Not much I can do today but I will be cooking a big breakfast, a yummy treat and a big dinner!
435221762_339445452665679872 x	@itzbreezydoe sorry - its almost all gone now!
435221762_338302099148378112 x	@itzbreezydoe these boots were made for walking! La la la
435221762_338301971339546624 x	RT @ReachingUpHigh: I want some White Castle ?
435221762_338290138515906561 x	My first retweat....:)
435221762_338289965962235905 x	RT @itzbreezydoe: I always need a reminder of me being that #BITCH
435221762_337747152828776448 x	Feeling blah!
435221762_337613064948051968 x	My first tweet - and it only took me 150 hours to figure out how to tweet!
