1077845270_300933724458070016 x	30 days 418!! http://t.co/uWndLRXF
1077845270_300218966142500864 x	31 days 418 Music WMC Miami.. #letsgo @djginocaporale @margiemartino @JAMIE418MUSIC @NicoleMKerrigan @djspontane
1077845270_299490238949101568 x	Feb 16th @Recess , Margie Martino of 418 Music release party... @margiemartino @djginocaporale @JAMIE418MUSIC @djdonnychiro
1077845270_296010532677361664 x	418 Music welcome's 3 new Hott artists!!
1077845270_294951821166915584 x	Z88.9 Hott mix right now by Gino Caporale... #418Music
1077845270_293881263012601856 x	WMC Miami... 418 Music... @djginocaporale @JAMIE418MUSIC @margiemartino @debbiemikes1roc
1077845270_293844084374786048 x	Check out http://t.co/PkYISz9P to keep up with the latest and greatest... @djginocaporale @margiemartino @JAMIE418MUSIC @djdonnychiro
1077845270_292999020341760001 x	Sunday Funday in the Dub section at the CarEffex booth. "Where the Pro's Go"@CarEffex
1077845270_292769635428859906 x	Hit up my boy Mike in the Dub section at the CarEffex booth.. @CarEffex
1077845270_291609815401246721 x	RT @JAMIE418MUSIC: @djginocaporale @LarryMeenan @margiemartino @debbiemikes1roc @djdonniechiro 418 BLOWIN UP 2013 ~already HA!!
1077845270_290842519921631235 x	It drops Feb 19th on ITunes... Margie Martino's hott ass track "Just Dance" @margiemartino @djginocaporale @JAMIE418MUSIC @djdonnychiro
1077845270_290840962039689216 x	Tweet Tweet @Ragu107
1077845270_290565329078325249 x	On set at the Debra Michaels " voices" Video shoot @debbiemikes1roc @djginocaporale @IAMBobBurke @vizionentgroup @whomag
