47882030_389173406253731840 x	Friiiiighhhttt niiight @ImDizzzy1231 @kelwalsh71 @skymilla @KrazyKatieKiss
47882030_388768456709275648 x	Sorry @AdventuresOfTim ? http://t.co/zFTjnqGpH7
47882030_388549466749677568 x	RT @Huntermoore: RETWEET this is you're a Child of mine or a part of #thefamily and lets all follow eachother <3 make #thefamily closer
47882030_388538805768433664 x	?@TMZ: Earlier: Miley Cyrus -- MILLION DOLLAR PORN OFFER ... To Direct http://t.co/Oi8PYPK84B? ????
47882030_388397370385252353 x	@KylerDAmico why am I your Avi ?
47882030_388156349626200064 x	Can @mollie_markhamm please come back into my life!? ??
47882030_388355149825335296 x	@mollie_markhamm we need to change this :(
47882030_388154260829274112 x	Soooo who wants beat on in nhl?
47882030_388149818771906561 x	Can't stop lookin at his new car lol https://t.co/vPAYAEfnYT
47882030_388149264993767424 x	@kelwalsh71 my house
47882030_388146294424100864 x	@Coleman_27_ goal of the year winner right there.
47882030_388146525471514624 x	@Coleman_27_ very surprised
47882030_388134940350881792 x	Lets go bucs
47882030_388134755579224064 x	Thank you @Pirates for the fun ride! The city is so proud of you! #BurghProud
47882030_388134499235921920 x	#BUCN
47882030_388134327424679936 x	I'm so fucking proud of this #Pirates  team. What they did this year was amazing, it was so fun to finally be apart of something like this.
47882030_388134027901038592 x	That hurts.
47882030_388133534046879744 x	We're battling.
47882030_388121313530765312 x	#Believe
47882030_388092949034455040 x	Were gonna win this game. I feel it
47882030_388092417389633537 x	#Believe #Cole45 http://t.co/kr6t1KgjDF
47882030_387990963286990848 x	I'm coolin with my youngins, and what we smoke one hunna, but nigga I'm 3 hunna. Click, clack, pow, now he runnin. #Sosa
47882030_387835385260564480 x	???? ? ? ????              ?                ?   ?          ?    ? ? ?          #BucsIn5
47882030_387796365197475841 x	@SamHall93 stank puss make my dick soft!
47882030_387796944946745344 x	@SamHall93 ohhhh killem!!
47882030_387797480752308224 x	@SamHall93 they want more sammio, ohhhhhhh
47882030_387796142832234497 x	@SamHall93
47882030_387795699255226368 x	RT @bleezykhalify: I got carpel tunnel from rolling so many blunts
47882030_387696822879535104 x	My niggas my niggas @tylerryan52 @ImDizzzy1231 @skymilla @KylerDAmico @bleezykhalify
47882030_387651858971774976 x	@lmteresi it's mid afternoon and it's hot af
47882030_387653805246259200 x	@lmteresi I was just being a smart ass ???
47882030_387651682584518656 x	@MileyCyrus I love you ?
47882030_387406619107393537 x	@Msyungwildnfree she looked fire and she did wear J's. She was rockin the wolf grey 5s nigga
47882030_387408161239748609 x	@Msyungwildnfree niggga I know my shoes!
47882030_387408771427106817 x	@Msyungwildnfree my nigga my nigga, MY NIGGA MY NIGGA!
47882030_387409718026579968 x	@Msyungwildnfree baby come back!!! You can blame it all on me!
47882030_387406479927820288 x	@FuckShosha_Sosa you can't cut me
47882030_387406681912926208 x	@FuckShosha_Sosa lol your funnnny?
47882030_387333095260573696 x	#Believe
47882030_387332613158875137 x	MVP
47882030_387327476562952192 x	Buzzkill
47882030_387325885193662464 x	Pnc park is soo loud I have chills sitting at home..
47882030_387325671628103681 x	LETS GO BUCS!
47882030_387325407194021888 x	EL FUCKING TORO BABY!!!!!!!!
47882030_387324053847306240 x	Let's go #Bucs, time to use those bats!!!
47882030_387312920906182656 x	Just a hit please
47882030_387075292604678144 x	?@ab_detz: I just wanna rt from @wudeydo34 plz? ??? http://t.co/D3zsWIosa2
47882030_387048312412438528 x	Skyler loves running red lights. Lol
47882030_387048084661747712 x	My shits so retarded, I handicap park it.
47882030_386956221376659456 x	RT @fsmikey: The pitcher's name is KELL-LY. Get at it Pirates fans!
47882030_386956166183800834 x	KELLL-LLYYY
47882030_386704730741022720 x	When I feel like it, kill these niggas when I feel like it.
47882030_386640329296072705 x	So proud to be a part of this city. #Pittsburgh
47882030_386639730554961920 x	?@JoshYohe_Trib: "MVP" chant for Cutch from the Consol crowd. What a moment. Standing ovation for nearly a minute.? Best moment of life.
47882030_386639496231800832 x	?@pitpanther01: Pittsburgh is just such a close knit, tight city. No other city is like this...?
47882030_386630480386600960 x	Nick just gave a homeless person 10 bucks
47882030_386442531300712448 x	That's yo bitch, why she actin like she need a man?
47882030_386437323103416320 x	I wanna meet Miley ?
47882030_385905611072077824 x	@unfoundclovers @mollie_markhamm can you two please text each other
47882030_385905923023470592 x	@mollie_markhamm @unfoundclovers ????
47882030_385905826093080576 x	@unfoundclovers @mollie_markhamm blow me
47882030_385904439435206656 x	RT @MLBMeme: NLDS STARTING..........NOW!!!!    RT for #Pirates   Favorite for #StLCards http://t.co/9yuihWniRL
47882030_385902772203577344 x	Okkkk so really now, where's the pens?
47882030_385902973706305536 x	@H4N_NAH ??
47882030_385902908824621056 x	LETS GO PENS! it feels soooo good to tweet that again
47882030_385891663442636800 x	Okkkk so what times the pens game start?
47882030_385890809205510144 x	Pull him.
47882030_385888602691207168 x	WTF AJ
47882030_385888305570910208 x	Damn, he crushed that.
47882030_385883555215470592 x	Oh man thank god for that DP
47882030_385846411310276608 x	Wtf is everyone voting for
47882030_385842556254175232 x	Sooo my own damn cousin is rooting for the Cardinals.. Smh. @Msyungwildnfree
47882030_385818364964139009 x	Like I'm sha shabba ranks.
47882030_385810923790667776 x	Y'all scared to do it how I do it
47882030_385809731215831041 x	I'm on a yacht gettin hella high.
47882030_385792295347703808 x	Kendrick doesn't give a fuck who he goes after.
47882030_385786596127424512 x	@FuckShosha_Sosa Were gonna have so much fun ???
47882030_385786772506312705 x	@FuckShosha_Sosa ????
47882030_385785686043136001 x	ITS A HOCKEY NIGHT IN PITTSBURGH BITCHESSSS LETS GOOOO!!!! ???
47882030_385783378307731456 x	I like drake tho!
47882030_385782649086017536 x	Boy, you been a fake ?
47882030_385782446203342848 x	Drake isn't gonna do shit either. Lol
47882030_385647831740334080 x	@RealTaylorGang whatttup bro!?
47882030_385646699173384192 x	@Huntermoore #TheFamilyPittsburgh
47882030_385632010053890048 x	@ab_detz night to you too ?
47882030_385634558512996352 x	@ab_detz ????
