36457300_381698299239333888 x	@HallieStrausser im sorry it upset you i was just as upset when i saw this too..its hard to watch but needs to be seen
36457300_381206779969175553 x	PLEASE REVINE!!Someone needs to do something. Meet @grey (coward blocked me) these are the vines he's been ... https://t.co/RB3aJIXgD4
36457300_381348238500331520 x	@CASE_2my_face i know right? Its disgusting
36457300_381213990711734272 x	@barBEC_q @grey its disgusting..im gonna find this kid.
36457300_381133617252294656 x	Nice hair #mom https://t.co/4O3glaO4WM
36457300_380553333196742656 x	He recently deleted the videos in the last ten minutes but julianna migliore is an animal..check out the th... https://t.co/8TTUBztWQW
36457300_380511570666983424 x	#Jax #turkthepuppy https://t.co/lLAXiXhBPh
36457300_380506087688257536 x	This is #turkthepuppy . Jessie Searle new pup abd #Jax new bestfriend. #dogs #bluepit #adorable #cute https://t.co/JecbNNf7qB
36457300_380489075167621120 x	#puppies  first tennis ball. #puppy #cute #adorable #bluepit #dogs https://t.co/q0pfVdpv0C
36457300_380198104274075648 x	Sorry if your a #molly hater but I #love her. Like if you agree. #EDM #edm #hardwell #tiesto #rave #edc #ed... https://t.co/FslADfUGZ8
36457300_380194809295933440 x	Things you would here Jenelles mom say if you called the house #teenmom #mom #funny #impression #howto #loop https://t.co/LyPQe0jBbs
36457300_380192956818673664 x	Can you guess what emojicon i look like? #emoji #funny #face https://t.co/dTtsrO4wZ5
36457300_380162391029608448 x	Part 2 https://t.co/5eLgDjYxI2
36457300_380116485689319424 x	Hahahahahaha yess. I was just trying to say hellp. #mom #scared #prank #funny #loop #howto #family https://t.co/8xJUFD0fDS
36457300_379771672016195584 x	I can't #scare him anymore. #prank #funny #scared https://t.co/UTjOnZarbK
36457300_379720503256420352 x	I swear it wouldnt pop for the five minutes before that https://t.co/IEyfH4cHBG
36457300_379716832925843456 x	Let me see you do this laying on the ground. #Jax #dogsvshumans #howto #magic #dogs #cool #vinefamous #vine... https://t.co/pLkmaWIbHn
36457300_379713266995716096 x	Thats a good #Jax #dogtricks #dogs #dogsvshumans #vinecrazy #vinefamous Nadine Suliman #loop #magic #howto https://t.co/JQm07JnHrT
36457300_379371967125934080 x	#harrypotter aint got shit on me #hogawarts #Jax #dogs  #magic #loop #howto https://t.co/TPs9RduOrA
36457300_379342483576336384 x	He hates me. https://t.co/M3VDECvU66
36457300_378945763306659840 x	My #brother and his best TerRio, Terio impression.. #killem https://t.co/sZvvkOx8Rp
36457300_378942008687337473 x	Its true..i am https://t.co/nUS4IVWYRa
36457300_378683979094052864 x	The staredown. Kevin wins. https://t.co/u0E7f5GruA
36457300_378461432977063936 x	#Girls dont hate me.. I still #love ya!! #funny #comedy #idea #condom #sex https://t.co/j8lGj1JdyO
36457300_378460795858092032 x	#girls dont hate me..i still love ya!! #funny #condom #sex https://t.co/SE9HYEnsY0
36457300_378371619577921536 x	Cuteness overload. #bluepit #puppies #dogs https://t.co/P5OmARNgDh
36457300_378226472299008001 x	I always do this at this point https://t.co/msoDPDR2KN
36457300_378222368986238976 x	@maria_holdtheL hahaha love it!! Your most certainly welcome
36457300_378183668147453952 x	The remix. For all you girls who are employed and respect for yourself.  Props. #music #PTAF #bossassbitchr... https://t.co/xLhMhiCYez
36457300_378178852834799617 x	Like if you agree..if your one of them..keep scrolling you fuckin loser. https://t.co/qwZfTqb42K
36457300_378177772193337344 x	Is this what you mean #katyperry ? #music #roar #comedy #funny https://t.co/WDROEfLW95
36457300_378016269934800896 x	Don't even try to deny you wouldn't eat this shit on the reg. https://t.co/fD9BajduTz
36457300_377910362827681792 x	https://t.co/3eRKFGJpjZ
36457300_377909952733806592 x	I love #puppies https://t.co/yniXoaw8sG
36457300_377853145344671744 x	Gotta love demoncrow #BobbyMerica https://t.co/tvJdJJwQTt
36457300_377811655398543360 x	He really gives no fucks. #funny #dog #frenchmontana #aintworriedaboutnothin https://t.co/qQ1dKtLYRZ
36457300_377602182918709248 x	My best impression of a bostonian. Shut up you know i love ya #impression #funny #accent #comedy https://t.co/yhhFscdlrH
36457300_377596221164380161 x	Ding dong ditch part 1 #mybrother #funny #comedy https://t.co/6wG8vnS8Ij
36457300_376949653583179776 x	O thats cow urine?? #funny #commercial #voiceover https://t.co/OAZBG3O62p
36457300_376855016411500544 x	@espn OFFICIALS TAKE ANOTHER ONE FROM THE PACK!!
36457300_376819055736668160 x	I feel like once mollys in your system once..it somehow never fully leaves #EDM #molly #truth #drugs #music... https://t.co/hrPRNcGQwD
36457300_376817605828694016 x	Don't act like you don't do this. #alone https://t.co/5O24Fkq90e
36457300_376556270708588544 x	Yerrppp i was giving her a foot massage and she was enjoying it a little too much Jessie Searle https://t.co/0CC2RctCdi
36457300_376185624669470720 x	@Kevin_Coughlan @Pergolicius_DEF @NYG_Finch109080 @djdipaola10 fuckin bingo players too fuck dude yess
36457300_376186720892776448 x	@Kevin_Coughlan @Pergolicius_DEF @NYG_Finch109080 @djdipaola10 send us the link
36457300_376186218389995520 x	@Kevin_Coughlan @Pergolicius_DEF @NYG_Finch109080 @djdipaola10 scratch that i was looking at the wrong one but where are you seeing this?
36457300_376185150469836800 x	@Kevin_Coughlan @Pergolicius_DEF @NYG_Finch109080 @djdipaola10 this is the night ive been waiting for my whole life
36457300_376182526400024576 x	@Kevin_Coughlan @Pergolicius_DEF @NYG_Finch109080 @djdipaola10 THIS IS THE GUYS NIGHT!!!! THIS IS IT!!!! AHHHHHHHHHHHH!!!!! FUCKIN RIGHT!!!!
36457300_376126125891915776 x	Gotcha mom #mom #vinecrazy #funny #scared #revine #loop  #comedy  #family #prank https://t.co/8UKOJvGiLn
36457300_376077089784758272 x	Which are your favorites?? #loop #cool #sunglasses https://t.co/S51D8imlmo
36457300_376070277584916480 x	I spy............. https://t.co/M47A0cadCt
36457300_375765774255673344 x	Commercials vs. Reality https://t.co/ZmrEFcsyzM
36457300_375410175731314688 x	Fun Fact of the Day....Did you know...     #truth #420 #bobmarley #music #fact #crazy https://t.co/e02Jj3ifY2
36457300_375404578390704128 x	Girls who need an extra 20 minutes for makeup people will never see #girlsvsguys #Girls #crazy #funny #truth https://t.co/aFCSryVskI
36457300_375398156064018432 x	I feel like I see this way too often https://t.co/86ai2wsASN
36457300_375348121372753921 x	Hahahahahahahaha I never saw #jax get so scared. https://t.co/IO1QGd54yF
36457300_375066222653898752 x	Your mind can be a #disgusting place sometimes #funny #loop https://t.co/lbP1OmClm2
