489851359_343908959335362563 x	The Philadelphia Phillies have announced that @mrozboul will make his major league debut on Tuesday. http://t.co/VQCGzaQvUg
489851359_343585935570636800 x	@aDANCONA608 .happy birthday Anthony
489851359_343200562352910336 x	It's time to end the Delmon Young experiment.
489851359_343154725002285056 x	Is this the Phillies team that we have been waiting for ?@SportsChatChuck
489851359_343151684693942272 x	Love the sounds of silence from the Heat followers @GreatWhiteShemp  @RobAlGhul #TonyParker
489851359_342815702396321792 x	Haters are my motivators- Nicki Minaj..@GreatWhiteShemp
489851359_342813357948166145 x	It seems like @RobAlGhul  is already straying from Dom Brown #unfaithful
489851359_341731808007835649 x	Where was our Dom Brown tweet tonight @RobAlGhul  #slacker
489851359_340899255642370048 x	The Bruise Brothers #ayee http://t.co/NylC02JX2T
489851359_340652183907352576 x	Congratulations to the FreshDawg,his team won the championship tonight. #Victory #Repeat http://t.co/D1oi64hOqg
489851359_339928814681456640 x	Got a preview tonight of @mrozboul getting ready for the prom. Handsome like his Dad. #ayee
489851359_339912194777034753 x	It appears that @RobAlGhul  has a man crush on Downtown Dom Brown.
489851359_339170174936682497 x	@SportsChatChuck ..Revere is here because of RAJ..#weak
489851359_338990789340315648 x	Thanks to all who have served our country. #USA
489851359_338829196266729472 x	This is a frustrating baseball season @SportsChatChuck .What is Amaro waiting for ?
489851359_338649445472284672 x	?@TempleUniv: Fall 2013 classes begin three months from today.?@GreatWhiteShemp @mrozboul .The exciting experience begins. #TempleMade
489851359_338438695046754305 x	@KevinCooney .Holy Kratz
489851359_338264954350235648 x	I am officially the new president of Roy Hibbert fan club...#therealdeal
489851359_337761002424791040 x	RIP..bunnies.we hardly knew you@lawnmower
489851359_336652498343436288 x	A big shout out to the FreshDawg for being honored tonight as a Shining Star Student #Proud
489851359_335910469883801600 x	@GreatWhiteShemp &Juicy J #TurnUp http://t.co/TFvit12Azl
489851359_335845568037404672 x	Fash likes Mom butts !! @GreatWhiteShemp @RobAlGhul
489851359_335711007748014080 x	Everytime I go out, you know I gotta show out. @GreatWhiteShemp @RobAlGhul #JuicyJ
489851359_335534306967580673 x	@SportsChatChuck ..Chris James was traded to San Diego for John Kruk and Randy Ready #nice
489851359_335194105611161601 x	This reminds me of @GreatWhiteShemp #graceful http://t.co/9juTcL1s7R
489851359_335185688532250624 x	Congratulations @RobAlGhul #TurnUp
489851359_334601224504614912 x	Congratulations to @GreatWhiteShemp on his last day at CCC, Now it's time to be #TempleMade
489851359_332679383213027329 x	Sounds like @JonandSeanShow @SeanBrace975 has a man crush on Leonardo DiCaprio. #yobro
489851359_331184120040415233 x	@atene17 @am_DAlessandro @jeffdmoore10 @JonMarks975 @SeanBrace975 . 1 word if Sean is in charge #awesome
489851359_329340790558060546 x	MTM returns to the hockey rink tomorrow night !! #Score @GreatWhiteShemp @DannyKashh
489851359_329290093993013248 x	What's with all the Delmon Young hype?
489851359_329285180852412417 x	Enjoying the day off listening to @JonandSeanShow @SeanBrace975 @JonMarks975 .
489851359_329015293194170368 x	What is Tebow's next stop? #RinglingBros
489851359_328714639015821312 x	I am coming out of retirement and will suit up next Sunday. #southphillystyle.@GreatWhiteShemp @mrozboul @DannyKashh
489851359_328620747184558080 x	@GreatWhiteShemp is as graceful as Lebron on the court. #notreally
489851359_328470657119711233 x	Welcome back Carlos Ruiz #Phillies
489851359_328233223970758657 x	What a great feeling when the Phillies are winning.
489851359_328195947727319043 x	I am not a fan of Barkley. Time will tell.@atene17
489851359_328183081435541504 x	I would rather have Charles Barkley
489851359_327961116259004416 x	Who currently leads the Phillies in batting average & hits? @RobAlGhul @GreatWhiteShemp #crickets
489851359_327601870824689665 x	Do you like our selection @atene17
