531530827_396680109870313472 x	@mattschuler97 haha true
531530827_396679151299878913 x	Touchdown hackenburg
531530827_396678234924138496 x	Michael carter williams rookie of the year
531530827_396674474118250496 x	@SciencePorn uh what
531530827_396670750566141952 x	TOUCHDOWN
531530827_396670460907503616 x	RT @FlyEaglesNation: I'm late on this but Sixers are 2-0. Lol.
531530827_396670082090541056 x	ROBINSON
531530827_396650973030273024 x	@TWroten_LOE keep ballin bro
531530827_396492804341653504 x	Anybody realize parkland copies EVERYTHING we do
531530827_396484470293155840 x	First time in like 3 weeks im ableto sleep in
531530827_396489947013984257 x	@brknyth im fluent in spanish
531530827_396485460119519232 x	Its a football game calm down
531530827_396485407934013440 x	Why does parkland try so hard
531530827_396475445627326464 x	@MCW1 kepp ballin bro
531530827_396460618154516480 x	RT @TWroten_LOE: Good win. Played good as a team. But we back at it tomorrow. Let's get it.
531530827_396459693436309504 x	RT @RoobCSN: The biggest priority for a new coach is instilling a winning culture. More important than drafting some 19-year-old who just g?
531530827_396459373972951040 x	RT @MLBFanCave: Followers to RETWEET are eligible to win a baseball signed by @Reds slugger Joey Votto. http://t.co/AT9MDA8WmJ
531530827_396459235053424640 x	RT @Winless4Wiggins: Maybe we should root for Flyers losses and Sixers wins and things will reverse and go the way we want
531530827_396456095688183808 x	How weird does it look to see paul pierce and kevin garnett in a nets jersey
531530827_396454281530073088 x	@Winless4Wiggins why not
531530827_396455124211871745 x	@Winless4Wiggins i would haha
531530827_396454731964760064 x	RT @KNegandhiESPN: So the pro teams Philly wants to see win keep losing. And the one team they want to see lose keeps winning. The joke is ?
531530827_396447988639629312 x	RT @MBarkannCSN: 2-0
531530827_396447884448919552 x	Sixersss
531530827_396390215230967808 x	Cassadee pope
531530827_396382781498208256 x	RT @brknyth: I just want to go to a concert
