1643317423_397746948616503296 x	@WendyWilliams leah looks drink as h*ll! Hahaa!
1643317423_397746357072850944 x	@WendyWilliams there u go on that couch "not uh uh"!! Hahaha!! .... And do u wear what u want u shouldnt of said mothin an shocked us! Bamnm
1643317423_397399849844613120 x	@Bethenny  can get tickets to your christmas in november show!! One of your real Good ones! Pweeeese!! (All ur shows r good btw)
1643317423_397402308067491840 x	@Bethenny (i meant can i get some tickets at least 2) for the christmas in november!!
1643317423_397401935793647616 x	@britneyspears love how you came back and made some smart moves and look good mama!! Back to the top!! Makin ppl jealous! Haha!
1643317423_397396308841226241 x	@thepeoplescourt love the show!
1643317423_397396175198101504 x	@thepeoplescourt did i read DESIGNER SWEATPANTS? HAHAA!!
1643317423_397395923711832064 x	@MacCocktail hahaha!!
1643317423_397395229042835456 x	@Bethenny  Bethany when u go out to a fancy place i wanna be invited!! VIP me so i can rock with U! I wanna know if ur a Becca Romjan girl!
1643317423_397394622345142272 x	@Bethenny  ; D
1643317423_397394517575614464 x	@Bethenny i wanna party with you and drink some margaritas with u! I think u are a down ass chick!! Hahaa! Im in Jersey so one time VIP me!!
1643317423_397394019107733504 x	@Bethenny happy birthday!!
1643317423_397390320184598528 x	@WendyWilliams you look good today!! Btw!    And Rocco is one of my favorite chefs!!
1643317423_397389108064292864 x	@WendyWilliams (cont.) i love ur swag when u sit on the seat & laugh & do these lil faces all that makes me laugh! Esp when u burped! Da ish
1643317423_397388387378008064 x	@WendyWilliams just wanna say i give u props i am watchin ur show like its a drug! An im a straight dude! Haa! An im diggin ur swag! (Cont.)
1643317423_397379518912278528 x	@WendyWilliams oooh! Look i swear to you i had ham hocks And short ribs too!! Korean food!!!! My mom makes them the best & we eat spicyYup!
1643317423_396373105507311616 x	@TMZ man! He got more than u In 1 day harvey! Haha! Just kidding! I know u work hard for ur money! He uses his athletic skill u use ur brain
1643317423_395945748229267458 x	@MarkVerma1 she may look good but shes a pastor an should find her OWN truth! That she is one angry woman and to into herself!
1643317423_395980774413189120 x	@MarkVerma1 i agree!
1643317423_395949467406721024 x	@OMAROSA I read only white women liked bethanny (which is not true!) well i see all blacks on Omarosas page! Rewatch the show!
1643317423_395949076002660352 x	@OMAROSA and why is omarosa favoriting these quotes thats how much ugly shes got! She need to sit with the pastor &trully find herself worth
1643317423_395948257773625345 x	@_ProfessorX @Bethenny @OMAROSA just sayin . Not throwin shade! Just sayin the truth! She walked away when beth thanked her for bein honest!
1643317423_395948053410381825 x	@_ProfessorX @Bethenny @OMAROSA and no not all of the@ are white women! A black woman an dude i watched it with didnt think so!
1643317423_395947687390240768 x	@_ProfessorX @Bethenny @OMAROSA instead of her being so defensive and angry she should find her own truth! And bethanny took the high road!
1643317423_395947406317338624 x	@_ProfessorX @Bethenny @OMAROSA and FYI rats also worked at the white house! like monica lewinsky! So yeah ok she smart so she should use it
1643317423_395947186015727616 x	@_ProfessorX @Bethenny @OMAROSA i dont think so! The thing is she has a life & dont Dwell on petty things like that! Obviously omarosa does!
1643317423_395945792441446400 x	@MarkVerma1 just sayin!
1643317423_395928295772286976 x	@thepeoplescourt @georgelopez latinos in the house& its not the court house! Judge is la bonita! Dang!
1643317423_395926508566753280 x	@WendyWilliams hahaha!! I knew it was a rerun "well be right back with the music in the background"!! Buurt buuurt burt burt burt (music)
1643317423_381178689339543552 x	http://t.co/Ni0ZOyS9Km awesome!!
1643317423_395926202290302976 x	@WendyWilliams see the girl with any bright yellow jacket! And todaay is halloween and i know ur audience is all geared up so now i know!!
1643317423_395925968881475584 x	@WendyWilliams ahhh ok so every time i watch i see the "well be right back" durin commercial an i thought it wasnt right cause i didnt (cont
1643317423_395589934708690944 x	@keigels @TheXDExperience omarosa was rude and clearly thinks shes the shit! Which she aint!!
1643317423_395592000827043840 x	@grayscale_2007 why was she suppose to upset her? And FYI she didnt get upset! Bethanny is prob laughin at her ways now!
1643317423_395600787503452160 x	@grayscale_2007 why wont i get it? An beth can afford it! Thats chump change for her. Shes got a many books and skinny girl liquor an she
1643317423_395606082791686145 x	@grayscale_2007 im sorry that didnt make sense! What question am i answering & the fact she has money means?? What? O an she Wasnt defensive
1643317423_395609701322211329 x	@grayscale_2007 and lastly i prob will and most likely do understand whatever it is you have to say!  Live love laugh! DONe!
1643317423_395609517485854720 x	@grayscale_2007 i dont know what u mean cause you havent explained anything yet!! Lmao! So there nothing for me to NoT understand!
1643317423_395606387994415104 x	@grayscale_2007 re watch it ok take an i hope u can get past color! But go with whats Right! live love laugh! Peace!
1643317423_395604465711325184 x	@judgealexferrer bravo!! Great verdict!! You saw right threw those dark glasses and saw the scam on both parties!! unreal!!
1643317423_395595959356645377 x	@DrOz why does cookie monster sound like someone is mo king an asian person?? LoL! Or like mr miogy (sorry for spelling!)
1643317423_395594129591513088 x	@Oprah and people are still praising Omarosa and saying F**k Bethanny !! I dont get it!!
1643317423_395593967896907776 x	@Oprah and its not right i know u have a big following and i have ppl here black couple an a white woman and they all see how rude she was
1643317423_395593732596441089 x	@Oprah because i happened to watch bethanny frankel an Omarosa was on there & MOST blacks are for Omarosa and MOST whites for Bethanny cont
1643317423_395593344237441024 x	@Oprah please do a special on why SOmE black ppl stick up for there own EvEN when there clearly wrong! &same goes for some white ppl!! Cont
1643317423_395592892431220736 x	@Oprah @JennyMcCarthy @TheView like the words oprah!!
1643317423_395592703893061632 x	Never do i play race cards! And ppl that do are ridiculous and need jesus!! An black or white it doest matter there enough love to go around
1643317423_395592267303772160 x	@grayscale_2007 how ?? Cause she worked in the white house and was a bitch on apprentice? Or is it cause shes black and bethanny is white?
1643317423_395592044414246912 x	@grayscale_2007 why is she the shit?
1643317423_395591060485074944 x	@Bethenny wheres all the tweets? New to this. I was proud of how u handled her ridiculousness!
1643317423_395589735990951936 x	@keigels @TheXDExperience stop hatin!
1643317423_395588878901731328 x	@SlickCiity im not heated really im just replyin and tweetin
1643317423_395588742624608256 x	@SlickCiity they said because shes black! Hahaha!
1643317423_395588671153647616 x	@SlickCiity im laughin at u! And the people in the room one bein a black couple educated to note r sayin why r u all up on Omarosa??
1643317423_395587900986769410 x	@SlickCiity i dont hate i tell the truth of what i see! And what r u?
1643317423_395587662482247680 x	@SlickCiity and lastly i never called her a whore! I dont stoop to her level!
1643317423_395587509671198720 x	@SlickCiity and im not bein rude im bein TRUTHful! An what i saw is a smart woman that hates and thinks shes better than all!!
1643317423_395587216615174144 x	@SlickCiity im not hatin! And No u got it wrong! She didnt get shut down! & yeah it is but so monica lewinsky worked there too!
1643317423_395586391251644416 x	#omarosa but it did show u were bothered and upset about it cause u knew it word for word! Bethanny has no time for that!   My opinion!
1643317423_395586102347956224 x	#omarosa and busy cause shes on a talk show and her brand to run so she doesnt have time to remember what she says all the time!
1643317423_395585918180294656 x	#omarosa i dont get why you brought up know ur truth!!?? Only cause u won a bet and u were right. Ok well shes busy cause shes got a brand!
1643317423_395585370815221760 x	#omarosa sorry for the spelling! I meant lets not stoop to her level! @ mortal kombat
1643317423_395585113880535040 x	#omarosa mortal combat i think there is a god! So leta bot stoop to her level an say these bad things like someone needs cancer!!!!
1643317423_395584792210595841 x	#omarosa and u are prob reading this and sayin all these white ppl but theres a black woman next to me rooting me on!
1643317423_395584471518679040 x	#omarosa last thing smart does not equal class! An please stop with the white & black BS!! Cause Oprahs black oh an our president is black!
1643317423_395583963177435136 x	#omarosa rude and wont let her speak cause u know she coulda tore u up! Yeah lil ol bethenay frankel!!
