1458736447_395861284362932225 x	Everybody gets one chance
1458736447_395860888168984576 x	RT @BetzysTooSweet: ?@PiscesAreUs: Nothing irks a #Pisces more than knowing it was BS all along. . . We take what we do seriously!? ???? ht?
1458736447_395860774490767360 x	RT @Exotic_Budd: Rise and grind.
1458736447_395773690727895040 x	?@BnBout_Dat_Life: Lemme me chill ... N get out the way ... Aint going to jail fuckn wit nerd ass niggas ... Haddy?where you at
1458736447_395773491188088832 x	Don't push away the people who truly care about you because one day you will push them away and they will never come back
1458736447_395772935312773120 x	RT @_Ra_Nae_: ?@Chipped_Nigga: true friendship is when you walk into their house and your wifi connects automatically???? ???
1458736447_395771987941150720 x	true friendship is when you walk into their house and your wifi connects automatically???
1458736447_395771407139098624 x	not gone forget who shitted on me!!
1458736447_395771336121131008 x	RT @Ah_BeautiFulSin: ?@Chipped_Nigga: Females who don't ask for much deserve it all????
1458736447_395770978930024448 x	Females who don't ask for much deserve it all
1458736447_395770808683212800 x	A strong relationship starts with two brave people who are ready to sacrifice anything for one another
1458736447_395770576851464192 x	RT @eastvill_lolo: @Chipped_Nigga Right U Gotta Call Them Broke Bitches
1458736447_395770131097587712 x	If we don't associate, keep my name out of your mouth
1458736447_395768966494576640 x	?@eastvill_lolo: Bitches Stealing I.d. Debit Cards& Access Card Smh?sad
1458736447_395769781842092032 x	?@eastvill_lolo: @Chipped_Nigga  Oh Yeah & $20 Smh?shit not cool at all
1458736447_395769673218031616 x	A know alot of bitches gonna be a whore for Halloween ???
1458736447_395769399359324160 x	RT @SportsCenter: Klay Thompson is ON FIRE against the Lakers. He has 38 points in 31 minutes after 3rd quarter. Thompson is 15-19 FG.
1458736447_395761652781809664 x	RT @Ky_Brown90: @Chipped_Nigga ctfuuuuuu bye
1458736447_395759477288632320 x	@Ky_Brown90 cause that picture u put on ig ????
1458736447_395759260480860160 x	Rip Lil Ed
1458736447_395759046994984960 x	?@474J: Oh ha idk RT @Chipped_Nigga: ?@474J: @Chipped_Nigga who that?Troj???? ard
1458736447_395757657531097088 x	@474J when cuz coming home
1458736447_395758678584086528 x	?@474J: @Chipped_Nigga who that?Troj
1458736447_395758582643564544 x	The truth is all that matter to me
1458736447_395758387948163072 x	Don't take twitter personal
1458736447_395758300895383552 x	RT @iDare_You: Whatever comes to mind while im on twitter ill tweet it
1458736447_395757734353989632 x	RT @Pretty_Foo: ?@Chipped_Nigga: Bitches be mad that don't no nigga want them?yessss they do
1458736447_395757525179858944 x	Being fake is being real now days
1458736447_395757404367114240 x	Stay in my own lane
1458736447_395757201702522880 x	I never will hate on nobody
1458736447_395757005232951296 x	RT @Pretty_Foo: "Fake" is A Trend That Real People Don't Fit In.
1458736447_395756904032763904 x	RT @Mr_HennySipper: I respect ya hustle shawty but ya morals all fucked up ????
1458736447_395756645294546944 x	RT @Pretty_Foo: I don't give a fuck if you don't say Hi to me...i lost loved ones who couldn't say Bye to me
1458736447_395756405938200576 x	too many fake bosses out here
1458736447_395756175050158080 x	RT @BnBout_Dat_Life: Hannah Montana was a whore whole time ???? , don't be mad at yall daughters jk
1458736447_395756117181366272 x	They didn't want u back then what u think change damn sure not ya looks
1458736447_395755967201419264 x	Bitches be mad that don't no nigga want them
1458736447_395755778306740224 x	Bitches be ugly as shit thinking they cute
1458736447_395755518985502721 x	RT @474J: Really don't care about these bitches feelings nomore.
1458736447_395755405479272448 x	RT @gwopboyjay: ?@Pretty_Foo: The More Yall Hate On me! The Harder Ima Go!!!?
1458736447_395755343181254657 x	RT @Exotic_Budd: ??@PiscesAreUs: "She says, He says" is the quickest way to turn a #Pisces wayyyy off.?
1458736447_395755127979913216 x	Watch who u say stuff around cause some people love to see drama
1458736447_395754859519291392 x	If you're not going to tell me something was said about me don't bring it up
1458736447_395754682448359424 x	RT @Pretty_Foo: Everybody that's Riding With You ain't gone Ride For You... ?
1458736447_395754647123918848 x	Stop tryin to be something u not
1458736447_395754379305033728 x	RT @Pretty_Foo: You can't take nothing from me that God can't give back to me again ..
1458736447_395754347084402688 x	The weekend needs to be longer
1458736447_395754277710618624 x	RT @_GoHAM_: Some people will never appreciate what you do for them ... ??
1458736447_395754187948306432 x	RT @ForEvaDo_C_: Boy all that cuffin you should be a P.O!!!
1458736447_395753946482212864 x	Bitches be quick to call a nigga thirsty but be half naked on the internet
1458736447_395752709204504576 x	I don't want a job I just want money
1458736447_395752173906448384 x	Make it last
1458736447_395752073184444416 x	Love is not only about togetherness and caring to the one you love but it is also about willing to sacrifice for the one you love
1458736447_395751627833217024 x	Beauty doesn't last forever but a beautiful personality does
1458736447_395751296147668992 x	Running toward my dreams tripped over reality and hit my head on the truth
1458736447_395751012289744896 x	That's not my style
1458736447_395750974541025280 x	Can't never say I'm being like anybody
1458736447_395750901438513152 x	I follow after myself
