428526956_388830928216543233 x	RT @RobRossi_Trib: I'm not sure there is an option to pull Zatkoff tonight. But if there is, now is probably the time time to take it. #pen?
428526956_388830891310866432 x	Pull Zatkoff
428526956_388830265717440512 x	RT @SBNationNHL: Craig Adams and Jussi Jokinen are now tied for the Penguins team lead in goals. What the hell?
428526956_388829718192979968 x	RT @rushmoreacademy: Kumar Pallana 1918-2013 http://t.co/E3MEXw22dU
428526956_388741217401307136 x	spoiler alert: Larry Bird took the mighty wings
428526956_388528731225989120 x	fly like a hawk, or better yet an eagle
428526956_388527766682877952 x	intergalactic planetary, another dimension
428526956_388349253191335936 x	RT @AltarBar: JUST ANNOUNCED: VIA & Drusky presents "!!!" (Chk Chk Chk) live at @AltarBar on 12/11! On Sale Saturday!... http://t.co/R1uLMa?
428526956_388349219485933568 x	@MrRPMurphy Coven is already my favorite season
428526956_388349126435299328 x	RT @MrRPMurphy: Last night's premiere of COVEN is the highest rated AHS EVER! Thanks you guys. Xo
428526956_388348716223963136 x	RT @awfulannouncing: Must see video: tennis announcer makes as many Breaking Bad references as possible. http://t.co/7uLZHJKIlF
428526956_388340504896614400 x	Buzzfeed is terrible
428526956_388047762379399168 x	with your feet in the air and your head on the ground...
428526956_388046165125517312 x	RT @tbhfox: hump daaaaay
428526956_387919535694565377 x	'Murican Scary Tale
428526956_387919353070383104 x	RT @devonxrae: All I can think about is American Horror Story. ? #AHSCovenPremiere
428526956_387775374135803904 x	Sleigh Bells is related to Arcade Fire? are you even trying Spotify?
428526956_387774808718454784 x	RT @RealDanaHeinze: Malkin's skates w/o steel http://t.co/O5VcDUSy96
428526956_387774314100973568 x	RT @ExtraSkater: #Canes-#Pens game stats: http://t.co/UKpczBEKJN
428526956_387763475008610304 x	@J_Bash32 you are the devil
428526956_387763338790203393 x	#OlliMaattaRises
428526956_387762943917432832 x	He is more than stats. He is more than hockey. He's the defender Pittsburgh deserves, but not the one it needs right now. @JoshYohe_Trib
428526956_387761947023646721 x	RT @JoshYohe_Trib: Through 3 games, Maatta has 2 assists, is a plus-1 and hasn't taken a penalty. But he is more than stats. Looks like a s?
428526956_387753943456964608 x	@J_Bash32 Don't listen to him @McDonalds he's just jealous
428526956_387753634177376258 x	RT @EngellandsEye: Geno now trailing Kobasew, Adams and Glass in NHL scoring race
428526956_387752999407214592 x	@J_Bash32 tag yourself in your own tweet #doublelame
428526956_387752660704571392 x	RT @penguins: Don't worry, video of Jussi Jokinen's third goal coming up. First though, here's a beaut from @TGlass15: http://t.co/L8ffPw7P?
428526956_387752557147209728 x	j-o-k-i-n-e-n #spellcheck
428526956_387752413563613184 x	@J_Bash32 #lame
428526956_387752283636629504 x	did jussi that #hur #hur #hur
428526956_387751860406206464 x	RT @ProFootballTalk: Todd Haley faces lawsuit over damage to rental home http://t.co/kgMVdTdHJT
428526956_387751602578132992 x	OH MY GOD HAT TRICK JOKI
428526956_387751444553531392 x	RT @fsmikey: #JUSSIHATTRICK AHHHHHHHHH!!!!!!!!!! http://t.co/2NLE1zRQgZ
428526956_387751415268925442 x	RT @PensInitiative: HATTER for Jokinen!!!! 5-2 Pens!!
428526956_387749151590477824 x	GET GLASS AN ASSIST #gordiehowehattrick
428526956_387748830306775040 x	HE FINISHED IT #GLASS
428526956_387748518154084352 x	FINISH IT!!!!!
