384501654_384659685603049473 x	Welcome to the farm, where you can roll your windows downnn
384501654_384121617699573760 x	@Mike_Rose1 and you knowwwww that!
384501654_384084256030720000 x	RT @DamnitGeary45: It's going to be one hell of a celebration tonight!
384501654_384078692735258625 x	RT @FreakMagic2: Cant forget the O-Line they played a GREAT GAME  we told them we was gonna ride they back today & they stepped up to the c?
384501654_384074129043124224 x	@TheTannerNorris thanks man!
384501654_384074067428782081 x	"@Worth_Cowell05: Shout out to @CJStruyk getting that win today #PirateNation" thanks brotha
384501654_384070193133420544 x	Another win for the pirates! On to the next
384501654_383951634101182464 x	@LucasHarrison1 thanks brotha!
384501654_383950796439953408 x	You know its real when you are who you think you are
384501654_383950070359785472 x	@Imma_Wheelsun you already know!
384501654_383948401282674688 x	@Russ_struyk thanks uncle russ!
384501654_383948353916391424 x	RT @jdunn_5: Good luck today @CJStruyk ????do worrrk as usual!  #family #50
384501654_383948331514609664 x	RT @whitneylee010: Once more into the fray. Into the last good fight I'll ever know. Live & die on this day @CJStruyk @KeiferNeal @JT_Boyd6?
384501654_383653200957808640 x	@colleen409 thanks colleen!!! Will do!
384501654_383647082697224192 x	"@CloydRivers: Hunter Hayes is the unsweet tea of country music. Merica."
384501654_383646115490693121 x	Dont waste your time on me, your already the voice inside my head.
384501654_383642504295612416 x	Ima small town boy im so proud of that
384501654_383583066595557376 x	Gotta love stats in the mornin
384501654_383355888930918400 x	RT @QuinceyAdams91: Why does Hannah Montana get me so hype now haha... @Scarfone_ECU @CJStruyk @jkhfurr @Capn_Carden5
384501654_381844844735660032 x	Giants why do you look so awful
384501654_381576639492395008 x	If there was something to burn we were burnin it
384501654_381567038969643008 x	Idc what anyone says johnny manziel is a beast
384501654_381449591796678657 x	@Scarfone_ECU furr is the donkey
384501654_381172494700257280 x	Feels great to be home
384501654_381076398024044545 x	This foreign accent has to go.
384501654_381102537727696897 x	@Worth_Cowell05 haha yea I was banging my head against my desk
384501654_381061945845383168 x	@amy_cordova06 happy birthday dude
384501654_380864963788959744 x	Now your talkin my language
384501654_380811551869243392 x	@T_GRIZZY_66 good luck tonight brotha
384501654_380133239169359873 x	"@Meathead__probz: If you don't make hideous faces while you're doing shrugs.. you're not going hard enough.  #meatheadprobz" @grove_j
384501654_380117064004157440 x	@jdunn_5 thank you so much!!!
384501654_380116502932119552 x	@colleen409 thank you colleen keep working hard!
384501654_380113209640120320 x	@Loatch22 thanks brotha!
384501654_380113134515937280 x	@abritton25 thanks man!
384501654_380113083366387712 x	RT @abritton25: Congrats to my boy @CJStruyk #dreambig #onlythebeginning
384501654_380106733256855552 x	@Airstrike_6 thanks brotha
384501654_380101958281220097 x	@Vinny_2Doe_Koop thanks man! Means alot
384501654_380099123162390528 x	@CatchMeWhenever thanks man
384501654_380099059211857920 x	@Codykeith12 thanks man that means alot!
384501654_380098974423982080 x	@EXOTIC__LPgotIT preciate it bro
384501654_379799077623316480 x	Sleeping in tomorrow is gonna be oh so lovely
