563401062_392120183596527616 x	RT @MensHumor: Insomnia sharpens your math skills. You spend all night calculating how much sleep you'll get if you "fall asleep right now".
563401062_391977185516716033 x	#BeatDallas #FlyEaglesFly let's go eagles ??
563401062_391951335933116416 x	The Philly Phanatic is at my work and he gave me flowers ?? @Phillies
563401062_391775872044507136 x	happyyy birthday to my little sister who isn't so little anymore.?? I can't believe your 18 already !? http://t.co/DSC0b3H2u3
563401062_391768848439193602 x	RT @alexa____x3: people usually dont want a restaurant to sing to them, except me i was so upset when i thought they werent going to ??
563401062_391723333223727105 x	I hate drake so much !!
563401062_391723041656688640 x	he sucks anyways.
563401062_391722971007811586 x	hahahah at @Drake canceling his concert.
563401062_391716932875214848 x	Olive Garden for @alexa____x3 birthday dinner ???
563401062_391671015241441280 x	RT @jacq116: Is it Thursday yet?  I need some hockey back in my life!
563401062_391370217378824192 x	bout to watch halloweentown with my little brother ? loveee this movie !
563401062_391344282243973121 x	@jacq116 @RinaldoZac yesss I do. and I know I do !!
563401062_391198471254208512 x	still depressed about last nights game ??
563401062_391029125747843072 x	RT @eric_himmel: Flyers why must you disappoint me
563401062_391025848092200960 x	@Orange_BlackNat exactlyyyy ! omggg ?? I'm sooo pissed
563401062_391027663114354688 x	@Orange_BlackNat noo they looked good. stupid mistakes, and I know they all had good chances just won't go in
563401062_391028806469042178 x	@Orange_BlackNat ughhh yesss I know me too. ??
563401062_391025569598820352 x	RT @Orange_BlackNat: On a positive: we get a whole week where none of us will want to break something or kill somebody.  YAY!
563401062_391022903317528576 x	RT @FlyersNation: Six day break, hopefully they can work things out. Keep the faith, we'll get through this together. #FlyersNation
563401062_391018576284762113 x	?????
563401062_391016939763822592 x	worst mood ever.. thanks #Flyers
563401062_391015960863576064 x	RT @FightinForPHI: Dear Flyers,  It's a small puck and a large net. IT'S NOT THAT COMPLICATED.   From, Every Flyers fan
563401062_391015863295700992 x	bulllllllshit ??? I'm soo pissed !
563401062_391008687785275392 x	omgggg bray was soo close !
563401062_391014432677302272 x	@Orange_BlackNat yeaa I know it deff will !
563401062_391004266414219264 x	okayyy 3rd period.. let's go boyssss #Flyers #FuckThePenguins @NHLFlyers
563401062_390996502401007616 x	@jacq116 @NHLFlyers ahhhh I'm soo excited !! #FlyersNation
563401062_390996412953272320 x	RT @jacq116: Dead center and behind the goal where the @NHLFlyers shoot twice for next Thursday night's game vs. #Rangers with @priincesss2?
563401062_390978942691475456 x	@jacq116 I can't wait to get my jersey !
563401062_390978872696926208 x	RT @jacq116: @priincesss22 Steve Mason.  #EnoughSaid http://t.co/7uHyxVEUiB
563401062_390977468297146369 x	@BroadStBull we all hope soo !! #letsgoflyers
563401062_390977078524669952 x	@NHL #Flyers @NHLFlyers
563401062_390976848081190912 x	RT @jacq116: Battle of Pennsylvania: Round #1 - Flyers vs. Penguins.
563401062_390975912940150784 x	gameeee time. let's go flyers ?????? #BeatThePens #FlyersNation
563401062_390970396570566656 x	perfect shirt for tonight's gameeee. let's go boyssss #flyers #BeatThePens #ihatesidneycrosby? http://t.co/7ofQ3AlW6N
563401062_390971656484978688 x	@Orange_BlackNat hahah yesss a lot of pride. soo mad I'm not at the game tonight !!!
563401062_390973251251601408 x	@Orange_BlackNat yeaaa exactly I hopeee not !! #letsgoflyers
563401062_390930036649631744 x	@jacq116 yessss we are ! and I know we gotta get them tomorrow !!
563401062_390927323564101634 x	sooo depressed I'm not going to tonight's game #Flyers ??
563401062_390885208217878528 x	my professor is really reading us a child book in class #storytime
563401062_390891386834538496 x	@Orange_BlackNat I knoww !
563401062_390891280630554625 x	#storytime http://t.co/J5FK2SHo1N
563401062_390876795530395649 x	?? so ready for tonight #Flyers http://t.co/TDcy0R8a1A
563401062_390876572976447488 x	sooo ready for tonight's gameee. is it 7 yet ??? #FuckThePenguins ??
563401062_390851088922206209 x	@kier_kee ughh sameee problem ??
563401062_390853778783870976 x	@kier_kee ughh I know !! ?? I'm soo tempted to go to !
563401062_390850910668476416 x	RT @kier_kee: I cant go to the game i have no money...(this is me attempting to talk myself out of buying a ticket)
563401062_390849685541642241 x	soo mad I'm not going to tonight's game.. been to every home game so far, can't believe I'm missing the best one ??? #FuckThePenguins ??
563401062_390823996876685312 x	flyers gameeee day ?. #fuckthepens ??
563401062_390646101344538624 x	soo saddd to see munch leave ?? #farewellmunch #svu
563401062_390643938249682944 x	#SVU timeee
563401062_390559814835003392 x	@YahTrickYa ohhh yeaa it's a really good show.
563401062_390558109447766016 x	@YahTrickYa it's the best show everrrr !!! I missed this Monday episode but I'm gonna watch it tonight
563401062_390475434842140672 x	not gonna be able to function today #totired ?
563401062_390474898302582784 x	ughh I still can't believe we're 1-6 #heartbreaking #Flyers
563401062_390324918661165056 x	RT @FlyersNation: ??
563401062_390322689556357121 x	finalllyy home ? had soo much fun at the game tonight with @jacq116 can't wait till we go to another game ??
563401062_390301058524016641 x	RT @kier_kee: I want to just hug mason and tell him its okay its not his fault.
563401062_390296485344342017 x	@Orange_BlackNat hahahah omggg yesss. I was trying to look for you but I couldn't see really.
563401062_390299433684176897 x	@Orange_BlackNat yeaa I couldn't see at all. ahh yayy thankk you ! :) omgg that's soo funny, I want to sit on the bench. how do you do that?
563401062_390239357120290816 x	@Orange_BlackNat are you on the bench yet.?
563401062_390291861627502592 x	@Orange_BlackNat I know my phone was acting up too. and I knoww I'm soo pissed off too !
563401062_390294882105171968 x	@Orange_BlackNat ahhhh I got some good pics of him during warmups. and yesss very jealous !!!!
563401062_390292580472459264 x	my hubbbyy #braybray http://t.co/lqDI7fDVqk
563401062_390291911342583809 x	hiiiii G #Flyers http://t.co/XPGrzKpCYv
563401062_390278826074599424 x	Jake the ? http://t.co/XuGGNfgF69
563401062_390275266461048832 x	G baby ? #LetsGoFlyers http://t.co/Pk9u9YqrbE
563401062_390268725200687105 x	TYEEE #FlyersNation
563401062_390265457250664448 x	ahh I was soo close to him ?? #braybray #marryme http://t.co/TPlwtWWjTe
563401062_390227869768884225 x	just got to the gameee ? #soexcited #letsgoflyers
563401062_390206816015372288 x	on my way to the gamee #Flyers
563401062_390173792393502720 x	@Orange_BlackNat ohh wow those are really cool. I might get one now lol
563401062_390174660010463232 x	@Orange_BlackNat ohh that's what their giving out. I heard they were but I wasn't sure what. those are cool too.
563401062_390175464729620480 x	@Orange_BlackNat hahah yess thankkk you :) !
563401062_390175411784933377 x	RT @Orange_BlackNat: @priincesss22 gotta keep my girl in the loop.  ; p
