66526219_390923520785793024 x	I AM AGAINST BULLYING #SPIRITDAY 10.17.13. PURPLE FOR #SPIRITDAY STAND UP AGAINST BULLYING PURPLE? http://t.co/HKq3uCwkxd
66526219_390906106903822336 x	RT @b_smiith: This class is just THE WORST
66526219_390905782436642816 x	Shout out to my new follower @Cj_Tate he can sing and he is really cute
66526219_390891324859113472 x	Not all of us can do great big things, but all of us can do little things of great value. #mythoughtoftheday
66526219_390889806022324225 x	I am against bullying. End bullying now!
66526219_390870059885023232 x	Kim K picture she up on instagram made me fall more in love with her ?
66526219_390851693967314944 x	@TayyFoxyy smh really girl?
66526219_390696687276408832 x	"@Bribannie: I have such big dreams I'll never be satisfied until I make them come true."
66526219_390677360015843328 x	Shout out to my new follower @ejc_30 shes a baller :)
66526219_390668202856153088 x	I just RSVP'd to the #PLLayWithShay viewing party! RSVP here: http://t.co/6Peh17yIMn
66526219_390643656593793024 x	@haleylynneparks keep it up im proud of you girl!
66526219_390642520667226112 x	@JloJenna omg i hate them!!!!!
66526219_390602379571527680 x	FROG(FULLY RELY ON GOD)
66526219_390508730854674433 x	"@Cream_Creeze: I don't need anyone. I really don't. God is always there anyways."
66526219_390219825026707456 x	All pink everything even down to the shoes! Which mean i support breast cancer awareness. #october? http://t.co/zFVHiwOQed
66526219_390186065619070976 x	One more class to go then i done for the day.
66526219_390158324538556417 x	Im hungrey
66526219_390144092770164736 x	RT @Jolenecal54: Don't put today off until tomorrow.. Because one day tomorrow will never come. #livenow
66526219_390128360506261505 x	@ravee_nn bhahahaha she stupied
66526219_389858790272954368 x	RT @Brynn9779: @selenagomez @SelenaOwnsUs My girl has CF, is getting a pass from CHOP to see your concert Fri, can she and her sis meet you?
66526219_389858612895813633 x	RT @KarenFox29: Super Mom @Brynn9779 wants her Daughter with cystic fibrosis to meet @selenagomez Friday. Please RT #BaileyMeetSelen http:/?
66526219_389826591846858752 x	RT @De_Green24: I wish I could stop thinkin bout you ??
66526219_389826095824248832 x	RT @EmojiStory: ? I Don't Like:   Mondays?   Math ??? Slow texters?   Waking up early?   Being wrong?   Being bored?   Low battery?   Hoes??
66526219_389825732496867328 x	"@isyourobsession: I don't wanna be alone, but now I feel like I don't know you?"
66526219_389776363127066624 x	Do you ever stop tweeting like really. Your all up n down my news line like go do something with your self
66526219_389764498061811712 x	@The_C0nductor smh your the worst
66526219_389741501447565312 x	She turned her CAN'Ts into CANS and her DREAMS into PLANS.
66526219_389620894932688896 x	Omg i cant wait to leave the east cost n go to the west! I really cant stand half of you at all anymore. #cantwait #leaving #bye
66526219_389619243484188672 x	RT @Jolenecal54: You're not who you are at your worst moment.
66526219_389614410928377856 x	@cheyyyyyx3 oh damn we dont need to know that
66526219_389615802254893056 x	@cheyyyyyx3 yeah i can see that...n dont get smart i did nothing to you!
66526219_389616998600024064 x	@cheyyyyyx3 ok so what did i do now?
66526219_389618329859915776 x	@cheyyyyyx3 well stop making me always think i do something. Goodness smh what to do with you
66526219_389619154774282240 x	@cheyyyyyx3 dont think that but if u say so
66526219_389619024159461376 x	Had a code blue last night at work n it was about 6 of us saving this mans life. #love my job. #work #savelifes #tech #cooperhospital
