239504491_37633421727645697 x	@HowardStern Baba Booey was in today...No Howard...who's skiing?
239504491_37618693462687744 x	@1NatalieMaines Brutal Baba Booey slam @ the end of CSFRT! LOVED IT! great SHOW!
239504491_37613897557098496 x	RT @Alyssa_Milano: Incredible photos of the sun's largest eruption in 4 years? http://huff.to/eMXBbZ /via @HuffPostGreen
239504491_37596117927464960 x	@yuckotheclown sounds about as big as "Yucko" then!
239504491_37595425804394497 x	@JeffProbst great Superfan show!
239504491_37576879657455616 x	RT @simonsam: Please RT if u think @Oprah should ask Mike Vick why he laughed as he watched his family dog being torn apart.
239504491_37576719657340928 x	RT @mark_mcgrath: Just started my first bit of press for Celebrity Apprentice, which debuts March 6...you must watch the insanity. One w ...
239504491_37269839814856704 x	@JeffProbst love both...Rob slight edge...can't wait!
239504491_37002916455776256 x	@RealGilbert ....Gillette Fusion! Works like. Champ!
239504491_37002713656991744 x	@RealGilbert
239504491_37002180468670465 x	Arcade of Bullshit!...god they  suck!
239504491_37001764632793088 x	@EricTheActor good call Eric the Awesome!
239504491_37001525062537216 x	What's this crap?
239504491_37001046941245440 x	@brittany_802 !!!Too funny!
239504491_37000183078195200 x	@1NatalieMaines Lucky, lucky, you!
239504491_36995184851947520 x	RT @brittany_802: I'm sorry but even if you DON'T like @justinbieber you should know well enough he should have won before that girl. Wh ...
239504491_36992431660470272 x	@drummerpr <3 sugar minott!
239504491_36992062008070144 x	@brittany_802 that was my point exactly!! And I admire your Passion!
239504491_36989595715379200 x	@brittany_802 I totally agree and I'm not that big a BIEBER fan!
239504491_36989381487108096 x	Esper...what?...oh my poor BIEBER!
239504491_36986749758472192 x	@mygeektime and not in that way!
239504491_36986207216865280 x	@mygeektime I <3 u
239504491_36985594756206592 x	@brittany_802 ????????????????????
239504491_36981842611539968 x	OMG...GRAMMY'S ARE BORING!...I LIKE THE FAT BLACK MUPPET GUY!
239504491_36368110596395008 x	@HowardStern ...That's HOT! Sweet dreams!
239504491_36113263204765696 x	And...@howardstern & @justinbieber exchanged TWEETS! BIEBER is bringing World PEACE!
239504491_36112369088204800 x	Egypt free!!! And @justinbieber's movie opens! What a world! Good luck to BOTH!
239504491_36055902826004480 x	@HowardStern Best of luck with your day off! Miss you on Friday! :(
239504491_36055518837473280 x	@Siriusjay ...don't you mean a "pawjob"?
239504491_36025600070127616 x	@RichVos ...pooh! Is it ME???
239504491_35900949302091776 x	@vpfavale ...Oh Debbie-Debbie-Debbie!...Gotta love it!
239504491_35886366998929409 x	@BTLSRadio ...Totally welcome DUDE!...got your back too!
239504491_35884553021165568 x	@Alyssa_Milano ...meant..."got your back"...sorry!
239504491_35814734456426498 x	@Rosie ...You and Howard, that is!
239504491_35812186307690496 x	@HowardStern ...everyone needs more lesbians!!
239504491_35794297294946304 x	@DavidSpade ...may I have the 5th tarp from the 103rd on the right??? Week of the 25th?
239504491_35793726701838336 x	@DavidSpade
239504491_35793197510688769 x	@jdharm ...so now you can be sure your HAIR looks great in TIME for your PASSPORT PIC???...Only in America!
239504491_35768024808034304 x	RT @DustyTrice: Hide the salami!  Sh*t just got real.  http://twitpic.com/3ycg2f
239504491_35717910920040448 x	@TheRevBobLevy ...congrats!!! Good to hear!
239504491_35717409415507968 x	@phillyBurbs ...White Sox??? They still have a team???
239504491_35716908493975552 x	@Beetlepimp a Coke and a smile!...breakfast of a true champion!
239504491_35658639515586560 x	RT @HowardStern: Check this video out -- ?2010???? 1080HD?17 - ???? Magic Show 2/2 ?? Liu Qian http://t.co/xYxpxNK via @youtube
239504491_35440239770210304 x	RT @SamGrittner: Saw a guy with three lip-ring piercings on the subway today. Took everything in my power not to attach a shower curtain.
239504491_35425108386385921 x	@Beetlepimp hey Beet... what is your name?
239504491_35422165520089088 x	RT @HowardStern: .Alyssa Milano Animal Shelters In #Egypt Struggling Amid Unrest:RT Don't tell Beth.I'll have every egyptian cat and dog ...
239504491_35417573810114560 x	@Alyssa_Milano Don't ruin the big Valentine's Day surprise!
239504491_35412449070940160 x	@HowardStern Too late!
239504491_35410071970267136 x	@HowardStern .....B-E-T-H!!! NEEDY ANIMALS IN EGYPT! HURRY!
239504491_35406970185846784 x	@mark_mcgrath ...THAT'S, Gary page 1 in...HOT PINK!
239504491_35405867457191936 x	@NHLFlyers ...LET'S GO FLYERS!
239504491_35405368855105536 x	@piersmorgan...No guts...No GLORY!...tug the wig!
239504491_35358972672348160 x	@SteveMartinToGo ..."pie night's vast creaming"...I have the stone etching ;)
239504491_35357715098247168 x	@askjillian ...exactly!!!...you won't see(or hear) Brewer on Piers freakin Morgan either!
239504491_35356480026710017 x	@shalomshuli.... hands down....where?
239504491_35356361499877376 x	@shalomshuli
239504491_32450168129327107 x	@LovableMandrell ...no, but I'll airbrushed anything...watcha need?
239504491_32449949010497536 x	@LovableMandrell
239504491_29911585472380930 x	@rqui http://twitpic.com/3suooy - Did they only let you bring their heads?
239504491_27094347916771328 x	Still don't get it!?!?!?
239504491_27092841582825472 x	@caseymarc exactly!
239504491_27090201671106560 x	What's Twitter?????
