58003762_393068993462157312 x	RT @foodsyoucaneat: Hey Glutards! Italian BBQ'd #CreekstoneBeef shortrib, marinated vegetables at @SPTapRoom http://t.co/4v5fSbFbMp
58003762_392177536178061312 x	thanks to everyone who came out & made our 10th anniversary weekend super amazing... here's to 10 more years!
58003762_392124515905703936 x	@KNaj728 @PhillyTapFinder pliny got to distributer last week, we got it on tues. blind pig got in 3rd week of sept & we got it a week ago.
58003762_392123948978405376 x	RT @floydiandroid: Not gonna lie. I found my new favorite sandwich. And it's vegetarian. @SPTapRoom's seitan and sweet pepper cheesesteak. ?
58003762_373190059878789120 x	Grilled albacore tuna with summer vegetable succotash on special tonight! http://t.co/RoX1YUm8sk
58003762_394272539717148672 x	congrats to @sbaickerCSN, winner of this year's pumpkin carving contest! your swag bag awaits!
58003762_388411163178172417 x	new! port brewing shark attack/duck rabbit schwartzbier/founders all day ipa
58003762_373189759759548416 x	Seitan and black been chili on special tonight! http://t.co/BtVin7Cy47
58003762_373117120332062720 x	new drafts! stone enjoy by 9.13.13/lost abbey 10 commandments/great lakes commodore perry
58003762_372833171022548992 x	RT @m_regan: Steamed littleneck clams, corn, tomato, fennel, spicy tomato-lobster broth on special @SPTapRoom http://t.co/0qmKQc65eU
58003762_371741435953164288 x	mexican construction worker style headcheese tacos are back! only $1 each.
58003762_371740002692399104 x	new drafts: ommegang rare vos & founders all day ipa
58003762_371730716012584961 x	ayinger oktoberfest & oskar blues mama's lil yella pils on draft now!
58003762_371379713719017472 x	sly fox o'reilly stout (nitro) on draft now
58003762_384058305754460160 x	russian river damnation on draft now!
58003762_392109067197767680 x	RT @beerlass: Celebrating a decade of craft beer and good eats in Newbold with a Confluence @SPTapRoom Happy Anniversary! http://t.co/JzMzZ?
58003762_392062121602990081 x	RT @foodsyoucaneat: Brown sugar poundcake, chocolate-stout sauce, dulce de leche whipped cream #new #menu at @SPTapRoom http://t.co/0JQwtEt?
58003762_392062091936694272 x	RT @foodsyoucaneat: Watercress, apple, goat cheese, mustard seed vinaigrette #new #menu at @SPTapRoom http://t.co/T990mCtUzW
