1978933170_392779709224058881 x	@mrroc81 thanks bro!
1978933170_394718294768623616 x	@dom9brown Wooowwwww not my dude! Come on Dom, not in Philly.. You won us over and broke our hearts ? #heartbroken ??
1978933170_394606283900583936 x	Another loss..  #damnit #angryface #stillbleedgreen regardless tho.. Where ya'll at ?? #salute? http://t.co/MAgXd6ZjRE
1978933170_394597837029523456 x	What happened to our Birds ya'll ?? #webleedgreen #eaglesnation #birdgang #whatsup ?!? #leeeethearit !! http://t.co/7YTpx1UxVT
1978933170_394316549651464192 x	Lol get em outta here! #webleedgreen #eaglesnation #birdgang #standup #salute http://t.co/Zyc0n7rdZW
1978933170_394298383990792192 x	Lol almost that time for a beatdown baby !! #webleedgreen #eaglesnation #birdgang #standup #salute? http://t.co/cnJTxiJ95L
1978933170_393839006913679360 x	@mrgetflee99 .. "Fleefire" on the QB .. Get em Flee! #webleedgreen #eaglesnation #birdgang #standup? http://t.co/rj09FojPvf
1978933170_393824360831934464 x	@deseanjackson10 .. Feet like the Roadrunner.. Get em DJax !! #webleedgreen #eaglesnation #birdgang? http://t.co/0pa7XfvgPG
1978933170_393804536974155776 x	#damnfuckinright! #allday #everday #ibleedgreen #youbleedgreen #webleedgreen! #eaglesnation #birdgang? http://t.co/MEw9v5utp8
1978933170_393614912289001472 x	Defense gotta lock on #hnicks and #vcruz .. Simple and plain.. #crusheli #destroygiants ..? http://t.co/TaQ6Q5iF84
1978933170_393603661399855104 x	@MikeVick gonna smoke em! #webleedgreen #eaglesnation #birdgang #standup #leeeeetsgo #eeeeagles http://t.co/an0dbiHZxj
1978933170_393443244232933376 x	What up ya'll ?? Just curious .. #webleedgreen #eaglesnation #birdgang #standup #salute #loyalty? http://t.co/zGdh4GFfXt
1978933170_393338126179258368 x	@Pro_Hunt58 gonna bring back the Hulk !! #webleedgreen #eaglesnation #birdgang #standup #leeeeetsgo http://t.co/8RsORvIsen
1978933170_393329906643640320 x	Demeco Ryans gonna be all over the field as always !! #webleedgreen #eaglesnation #birdgang #standup? http://t.co/HU8vjmeUFy
1978933170_393326501674090496 x	Shady "Flamefeet" McCoy !! cutondime25 .. He gonna torch the Giants too !! #webleedgreen #eaglesnation? http://t.co/hk9SJ5DkfM
1978933170_393220332724973568 x	Thats right Eli .. Thats yo' ass ! #webleedgreen #eaglesnation #birdgang #standup http://t.co/pfLZEfDyC4
1978933170_393100183829225472 x	#whatup wit ya'll ?? http://t.co/LDhAZfRjcb
1978933170_393039828553842688 x	Ok I got a debate for ya'll.. Let's say the NFL did a one-year merger type draft and allowed teams to? http://t.co/YiAx20xhKi
1978933170_393030243944243202 x	@BrandonBoykin2 1948 Orange Bowl against Texas
1978933170_393028587248701440 x	@BrandonBoykin2 1948 Orange Bowl against Texas..
1978933170_392836696842452992 x	#yeeeeahboy #mustwin #webleengreen #eaglesnation #birdgang #standup #eagles/giants #divisionshowdown? http://t.co/ziS3pmOmER
1978933170_392755366251204608 x	RT @FlyEaglesNation: LeSean McCoy still has over 100 more rushing yards than any running back.
1978933170_392698127247233024 x	Let's get to #700 !! Thanks for the support #webleedgreen gang !! #webleedgreen #eaglesnation? http://t.co/RHIOgSOxAn
1978933170_392688697965293568 x	@nefertitijaquez are you married? Please say no..
1978933170_392670731144024064 x	This just a source.. but its usually true.. @MikeVick will start Sunday against the Giants..? http://t.co/QAhRNLUyuc
1978933170_392475151545413632 x	@nefertitijaquez thank you so much sweetheart !!
1978933170_392439078995902464 x	RT @KattPackAllDay: Time for a pimp to continue the American Hustle.  I just stepped in to say what's up to you twiggaz!
1978933170_392418072428310528 x	@nefertitijaquez You probably don't remember me but you interviewed me at Oregon Diner the day after we won Game 1 of the NLDS against Cards
1978933170_392434947119923200 x	@nefertitijaquez Definitely! I run an Instagram page called @we_bleed_green.. Think you could follow me.. Pleeeeease and maybe on here too ?
1978933170_392419033125228545 x	@donovanjmcnabb Hey DMac would you ever consider taking a QB coaching job with the Eagles if they offered ?? Just wondering as a fan
1978933170_392418382706126848 x	@nefertitijaquez Aaron McKie and I predicted we would sweep them in 3 and we wound up losin Game 5 at home lol
1978933170_392361625011113984 x	Vick has a bad hamstring, Foles a concussion, and Matt Barkley is just inexperienced right now.. So my? http://t.co/VEkPJ9a4Lj
1978933170_392350947143593984 x	RT @RealSkipBayless: Most staggering NFL development: Eagles have lost 9 straight AT HOME. Once upon a time, Philly was NFL's scariest plac?
1978933170_392350493105995776 x	RT @TheRealDGunnCSN: Kelly: I've seen our defense continue to grow and get better #eaglestalk
