321177436_381647556549545984 x	1:00am and dancing to our new favorite song lol The Fox  #song #dancing #fox #TheFox #1:00am #am #omg? http://t.co/mhwQglhww5
321177436_381633142463135744 x	OMG lol the dog is going crazy  #dog #blacklab #crazy #omg #lol #cute #running #funny #dogtoy #toy? http://t.co/GCylVVtnsP
321177436_381412060397330432 x	RT @funnyortruth: Life is short. Smile while you still have teeth.
321177436_381411764350779393 x	RT @ithinkthatway: the bad thing about having long hair is sometimes it will move over your arm and you lose your shit because you think it?
321177436_381411697468399616 x	RT @ithinkthatway: i love sleeping to avoid problems
321177436_381411434565206016 x	RT @ChildhoodFacts: Don't judge me. I was born to be awesome, not perfect.
321177436_381035756833505280 x	Are construction men always HoT? #sexy #hot #men #construction #hello
321177436_380812886387720192 x	Let's go EAGLES #eagles #flyeaglesfly #green #nfl #football #son #michaelvick #vick #sports #smile? http://t.co/G960TWq0nb
321177436_380798598667309056 x	It's crazy how fast time flies. New Years 2009 my little meatball #crazy #timeflies #newyear? http://t.co/pZTXyWMa9s
321177436_380134252442320896 x	#NewGirl #yayayayayayaya
321177436_379785171136167936 x	#DWTS #snooki yayayyayayayaya I'm so excited shes going to do good
321177436_379784393004711937 x	#DWTS omg I loved @snooki dress
321177436_379781127281840128 x	RT @ComedyTruth: my feelings for my hair varies from "i want it to be longer"? to "i want to shave it all off" ?
321177436_379779690120355840 x	Lets go @snooki #DWTS
321177436_379778904170704896 x	#DWTS #TEAMSNOOKI o come on let's do this already I'm getting excited she's going to kill it #NJ #danceyourhrartout
321177436_379778313486880768 x	#DWTS #i hope #TEAMSNOOKI is next
321177436_379778066576576512 x	#DWTS I'm so excited to watch #TEAMSNOOKI
321177436_379777876008398848 x	#DWTS #TEAMSNOOKI
321177436_379762629872721920 x	#findyourvoice
321177436_379760982517891072 x	#DWTS let's go Snooki (Nicole)
321177436_379757494492749824 x	Dancing with the stars Snooky
321177436_379446989341343746 x	This is who I am. Nobody said you had to like it. #me #neverchaigewhoyouare #work #sunday #goofy #face? http://t.co/teRruIp2X4
321177436_379439401878949888 x	HAHAHAHAHHAHAHAHAHAHHAHAHAHAHAHH I loved miss ny
321177436_379412840362553344 x	Lets go NJ #MissAmerica
321177436_379395709604470784 x	OMG some of this Alaska girls are a little big lol lol #20/20 #missamerica
321177436_379395064742817792 x	Watching 20/20 Miss America #missamerica #20/20
321177436_379048963921702912 x	Today's selfie this morning going to work  #work #saturday #hairdresser #sunglasses #beautifuldayout? http://t.co/0a2qfeFbfM
321177436_377888621720006656 x	I rely hope that the future is goo to me #future #good #please #god #life
321177436_377809600231538688 x	Ugh ????
321177436_377797557751386112 x	Good Morning IG #goodmorning #newday #like #comment #follow http://t.co/EShsm66sja
321177436_377616417971249152 x	Never give up. There is no such thing as an ending. Just a new beginning. ?????????? #hairdresser? http://t.co/rsuuUtgl0T
321177436_377542042429431808 x	First Day New Salon Success ? #thanksbitch #bettertandbiggerthings #hairdresser
321177436_377262957241315328 x	RT @ComedyOrTruth: have you ever looked at someone and knew that you were going to hate them
321177436_377262800030429184 x	RT @FreddyAmazin: why can't concert tickets be like $10
321177436_377151167937396737 x	LoL Mommy Don't take any more pictures lmfao love him #basketball #lol #cute #son #playing #pictures? http://t.co/bj4sSqALaC
321177436_377125185826357248 x	keep stalking me lmfao love it ????
321177436_377124629657432064 x	Customer complain rely lmfao NEVER more like you just trying to find a excuse #bitch #crazy #moveon #talkaboutme
321177436_377123666376814592 x	Lmfao Got fired because of Tweet "Not Mad" you did me a Favor Starting My new Job tomorrow yayy me #salon #drama #lmfao #keepitmoving #w/e
321177436_377088898750758912 x	Thanks for doing me the favor lol
321177436_377069939825582080 x	I'm a boss ass bitch ????????????? #song #bitch #boss #justkeepswimming
321177436_376874148922130432 x	Ugh why are people at Mayslanding Walmart such trash #trash #walmat #people #wtf
321177436_376029150253174784 x	So over this place im just so Miserable  #ugh #wtf #miserable #overignorentpeople #nothappy
321177436_375973651604336640 x	Ugh lets do this shit ?????
321177436_375439477931790336 x	The Ultimate fighter yea buddy #ufc #fight #girlvsboys
321177436_375356894761992192 x	Feeling sick all day ugh I hate it
321177436_375199354858254336 x	Up and getting my baby's Book bag, clothing and lunch for School boooooooo ?????????
321177436_375121445690826752 x	@xxprincesa69xx OMG where ???
321177436_374969201272053761 x	Lmfao every time Eddie gets up lol finally got him #crazy #hubby #love #song #singing emadi2 #like? http://t.co/Rk6ST26ieX
321177436_374245087053885440 x	? I was about to get up and clean but now I can't twilight is on ??????????? #twilight #twilightmom #love #edward
321177436_374163557384220673 x	Sunday and Eddie woke up at 6am booooooo #mommyproblems #sunday #wokeup
321177436_373646891902574592 x	Love vacation
321177436_373544666429677568 x	Theirs times I miss you but then I think about it and I'm happy your out of my life #drama #wac #trashwhitegirl #lol
321177436_373155858752233472 x	RT @ohteenquotes: Don't get mad when someone else starts to appreciate the person you took for granted.
321177436_373155110308028416 x	RT @Relationship1O1: Some deserve second chances with you, none deserve third chances. Don't open yourself up for consistent failure.
321177436_373154707793268736 x	RT @ChildhoodFacts: i need a vacation from life
321177436_373154036528447488 x	RT @iBoyFriendTips: If I'm weird around you, that means I'm comfortable with you.
321177436_373139309429530624 x	RT @GirIFacts: being a girl is so expensive ???????
321177436_373128473109614592 x	Just waking up lol ugh I love vacation ?
321177436_372438168387461120 x	Vacation yea buddy #vacation #summer #pool #drinks #alcohol #hubby #fun #people #son #love #like? http://t.co/Jy3TxmLMHb
321177436_370708621006749696 x	Just got home from work and I asked Eddie what he did today and he said my daddy showed me how to do? http://t.co/AbUTPSzYHn
321177436_370666251078893568 x	Happy Birthday ?? xxprincesa69xx So it's taken me all day to put something up because every time I? http://t.co/yRhzxuuAgH
321177436_370630899500859392 x	Dear Good please help me @RPetetti is coming to my JOB boooooo ????
321177436_369329354607562752 x	??True Love ??? 1:00am and this kid has the radio on and his dancing and singing lol my baby ? #kid? http://t.co/FB2bjlCsXY
321177436_368890663904878595 x	I Love it when he smiles.? It's cute how he laughs. Every time I look at him, I remember the first? http://t.co/aHPssXewLM
321177436_368384172974280704 x	Woke up in a bad mood ?
321177436_368035910723833856 x	JT and Jay-Z ??????????? https://t.co/5i1248M1vn
321177436_367509057214877697 x	????? http://t.co/MSCr2pCpCN
321177436_367509054459232256 x	JT and Jay-Z  ???????? #concert http://t.co/oyGnSsBVBd
321177436_367509042161545216 x	Just posted a video http://t.co/9dfm3uePrB
321177436_367509019147403264 x	Just posted a video http://t.co/FRNbT59mU1
321177436_367508963883233280 x	JT and Jay-Z ????????? http://t.co/BxQSFxCSns
321177436_366783595571986432 x	We all die. The goal isn't to live forever, the goal is to create something that will. #die #goal? http://t.co/uQjKw4rJ0J
321177436_366722392061513729 x	Lmfao ??????? Hop on the train Bitches ? your not the only person that talks about me #fakefriends? http://t.co/fKgbvJfCob
321177436_365938554037620736 x	Question of the day do men grow the fuck up! Or are they always going to have midlife crisis???? #men #boys #growup #midlifecrisis
321177436_365938052822073344 x	Waisting fucken Money on a stupid car WOW
321177436_365460012107186176 x	WBA s
321177436_364844525606273024 x	Loves to go out and hit the bag with daddy when his working out! #punching #ufc #MMA #kid #son? http://t.co/Qm5HBQVQfW
321177436_363415116848840704 x	Celebrating my best friends birthday with the girls!!!! http://t.co/a6ZMQ3U56z
321177436_361674921895661573 x	Sometimes when I need a miracle I look into my Son's eyes and realize I've already created one? http://t.co/NvHkXasDMU
321177436_360939348432142337 x	8g finally in it took me all day ugh it hurt!!! But I have to get to 0 #loveit #newbodypiercing? http://t.co/72JOVQKmRC
321177436_360606986175393792 x	I think it's about that time I start my 8G ?lol and then 6G I want to get to a O yea Buddy!!!? http://t.co/YflvSQAjHj
321177436_360523932215934979 x	Ugh I hate people
321177436_360390052859224064 x	I still got it! Just got pulled over he said just seen you at wawa just wanted to see if I can get your # lmao wtf yea sorry NO lmfao
321177436_360259406056800257 x	Over it and sick of it
321177436_360080641565532161 x	That awkward moment you realize your Aunt and Uncle are taking about their Sex Life on FB #WTF #oldpeople #omg lmfao @juliannehough
321177436_359759570937188353 x	Shut up bitch
321177436_359362857609068544 x	Your actually my best friend ?
321177436_359073886781964289 x	@xxprincesa69xx  Dam your going to Atco but can't come visit thanks .......
321177436_358825885194928130 x	Enjoy the little thing's for one day you may look back and realize they were the big things ?? http://t.co/mJbasqaaGT
321177436_358660491188920320 x	RT @adorablewords: Sometimes creating a little distance will help people recognize how much you actually mean to them.
321177436_358656554515443712 x	Just Keep Moving forward and don't give a shit about what anybody thinks. Do what you have to, For? http://t.co/9LGUFjgIC3
321177436_358457008229711872 x	RT @LifeFacts: Stay strong, be happy, make them wonder how you're still smiling.
321177436_358456813395931136 x	RT @ohteenquotes: Walk away from anyone who takes away from your joy. Life is too short to put with fools.
321177436_358449893766991872 x	#WoW ? I think I found my a #GirlCrush #OMG I #love the #tattoos #hot #sexy #followherpeople kandizz? http://t.co/I7xUA21jHc
321177436_358443940150001664 x	Little Man is in #bed so ending my #Crazy #Boring #Working #Birthday with a #Nice #Relaxing #Bath #ugh? http://t.co/vct0Ee7UcW
321177436_357988927396782080 x	#SmackCam #smacammmmm #cowworkers #bossdaughter Samantha Burke https://t.co/zwPmEAsySp
321177436_356826838741430272 x	All I want to do is quite my job and stay home for ever!!!! Who's with me ????
321177436_356606392297201664 x	Started from the bottom now we're here lmao #song #son #nextamericanidol #mybaby #lovehim #crazykid? http://t.co/3AUHkUtPCr
321177436_356592081722028034 x	RT @Causeofmyass: So true! http://t.co/KLfW1T1bCT
321177436_356591881305595904 x	RT @Causeofmyass: Do this to make your day better :) http://t.co/MsNFfKceId
321177436_356591158576676867 x	RT @JacLaurita: I think the people saying I'm obsessed with anyone r actually obsessing over ME.Lol! Have we met?T is not obsessing either,?
321177436_356590972928409600 x	RT @iadorewomen_: A girl doesnt need to tell you straight up how she feels. it's written all over the way she acts when you're around.
321177436_356588272794877952 x	RT @JacLaurita: I voice my opinions openly and not through other "sources" . You always know where you stand with me. I use my own voice. I?
321177436_356587928195051521 x	RT @JacLaurita: I just want EVERYone to take accountability for their OWN actions. Then the healing can begin.
321177436_356544754248454145 x	I have definitely realized that in #life we have a lot of #negatives but all have to do is just keep? http://t.co/iUkBrYo8Jy
321177436_356216814583300096 x	#future #present #past #justkeepswimming #moveon #forget #next #like #comment #follow http://t.co/Ruv9bWpjoI
321177436_356188652667289600 x	RT @ReaILoveQuotes: Don't waste your time on revenge. Those who hurt you will eventually face their own karma.
321177436_356188467069321219 x	RT @teenagernotes: I get jealous,  I get mad,  I get worried,  I get curious.  I stress for no reason, But it's only because I care so much.
