person_id,Score,Comments
1232200626,3,"Mostly retweets, but talks about chewing tobacco a lot and who she's with"
1431245419,2,Nothing really private revealed but there are a lot of similar tweets about a Dr and his office so that is slightly revealing
1485502434,2,Talks about being in the lgbt community and family stuff but nothing too explicit
1658597894,2,Emotional Sports talk
1660662985,2,A couple emotional tweets about varying subjects
1681451196,1,Not a lot going on in these tweets
1759476704,1,just retweets
1855757786,2,A couple minor emotional conversations
1917522990,2,Some emotional stuff and harmless conversation tweets
1961750216,2,Seems interested in translating Muslim/Arabic videos and talks about his website a lot but it's all vague or links
2148436492,2,Tweets at people a lot asking how they're doing and saying they look beautiful
2157641771,3,Talks about his brother getting signed to a sports team. And locations they were at.
2185483717,2,only talks about getting more followers and being blessed
