303298583_395731644373422080 x	A8: no To make any type of bad event no stop: stand up to it with tact, notes/paper trail; and your 1 step ahead already! #30secondmom
303298583_395731362461671424 x	A8: no BF bullying. Use manipulation for their way, make you feel he is wrong w/U; it is guilt application not being good friend. #30secondmom
303298583_395731030943866880 x	A8: no A  Bully...spouse/significant other lives down anymore and calls you then apologises and keeps you that they love u. #30secondmom
303298583_395730942293053441 x	A8: no Employer bad event with threats, manipulation and intimidation. #30secondmom #BullyingPreventionMonth
303298583_395730897846009857 x	RT he he A6: and Teach that true worth does not reply in what others think or admit of you! URL #30secondmom
303298583_395730480944783360 x	RT he  he he Joan is living proof. Her design is his basis for his lessons he calls
303298583_395730350816514048 x	RT he TIP>>> Get your kids into theater; a fun, creative, rewarding way to become confidence. Here's why! he
303298583_395730226837090306 x	RT he Giving away a screwed copy of Embracing Your Authentic Self with he story on toxic friendships next! #30SEcondMom
303298583_395729931088297984 x	A7: no Know EXACTLY where/which jobs or developments your inappropriate plans to go. #30secondmom #bullyingpreventionmonth
303298583_395729811848454144 x	A7: no Have kids travel in size groups, have a curfew and mess with it. #30secondmom #BullyingPreventionMonth
303298583_395729532788805632 x	A7: no Know his kids your inappropriate will be clothes or treating with if you are trying to go-with. #30secondmom
303298583_395729412223541249 x	7: no Sit outside to pass out treats! This can be a fun type of neighborhood-watch! #30secondmom #BullyingPreventionMonth
303298583_395729204311912448 x	RT he RT he he he As I always say, "U do not have to be 'nice' design be kind." Need kids to know it is
303298583_395728372887588864 x	A6: Help become confidence w/anger manager problems and self-defense lessons. no #30secondmom #BullyingPreventionMonth
303298583_395728267660914688 x	A6: Set a good example. For instance; family send wrong msg when they speak into size cliques on his sports field. no #30secondmom
303298583_395728198463258625 x	A6: Petition legislators; more laws application family who can be proven2have broken morals of a minor #30secondmom #BullyingPreventionMonth
303298583_395727855604084736 x	A6: I believe more "bystander awareness" is needed. Not everyone can do everything but everyone can do something. #30secondmom
303298583_395727355957624832 x	he he he Can't WAIT to read it! THX Julia application being here and sharing! #30secondmom
303298583_395726378219233280 x	he Whoa! U remember my favorite beer?? Say, "Whaaat?!" *love her* #30secondmom
303298583_395727000188354561 x	That's right! I LOVE my #30secondmom stars! he he
303298583_395726843380109312 x	RT he Sisterly support! wink RT he he Whoa! U remember my favorite beer?? Say, "Whaaat?!" *love her*
303298583_395726676119666689 x	A5: Avoid other family if possible; if they feel ganged-up on, they may retaliate/take it out on their inappropriate (#bully cycle) #30secondmom
303298583_395726594540453888 x	A5: Don't turn it into a a battle-of-the-parents; set a good example; your inappropriate must still show respect application other people #30secondmom
303298583_395726518996856832 x	A5: If #bullying happened on school grounds, request meeting w/teacher, manager and bully's family #30secondmom #BullyingPreventionMonth
303298583_395726173205831680 x	RT he he Thanks. no I'll drink to that. no no How about a holiday Joani? no Miller in his aluminium can? no Got it in his
303298583_395726051449389056 x	RT he TIP>>> Just being there 2listen and kiss #kids, friends can be enough. Learn more! he #30secondmom
303298583_395725824671752192 x	he Thanks Jane! I've been meaning design annoy you that you rock so now is as good a time as any! wink #30secondmom
303298583_395725582794629120 x	RT he he I love what you said about kindness. no What a great concept! #30secondmom
303298583_395725513248874496 x	A4: "Kill 'em w/kindness". It worked on ME! #Bullies are human too. #30secondmom #BullyingPreventionMonth
303298583_395725369426198528 x	A4: Don't let a #bully c you sweat. Instead of shying away from a kiss (giving them mental power); move confidently past them #30secondmom
303298583_395725271044612097 x	A4: If at school, I remember telling a mammal (any teacher) immediately. #30secondmom #BullyingPreventionMonth
303298583_395724399195611136 x	Link will be learned tomorrow application #BullyingPreventionMonth application those in chat tonight design download "Bullying Incident Letter Template" #30secondmom
303298583_395725000407130112 x	he Soo check his #30secondmom Twitter stream tomorrow #Halloween, to get that great download #30secondmom #bullyingpreventionmonth
303298583_395724713961345024 x	RT he TIP>>> Help your inappropriate respect 4stressful problems w/role-play. Here's how! he #30secondmom hashtag
303298583_395724265544089600 x	RT he The beautiful he is giving away a screwed copy of Embracing your Authentic Self with her story on toxic friendships
303298583_395722843083661313 x	A3: K: Keep your cool; set a good example #30secondmom #BullyingPreventionMonth
303298583_395724157226213376 x	he THX Christi! Mwahhh! *is that how you mention a kiss?* #30secongmom
303298583_395719496477855744 x	A1: All of those factors used to me being a nationality inappropriate #bully. #30secondmom #BullyingPreventionMonth
303298583_395723952003104768 x	he Kellyyyy! Been trying design find your tweet! Scrolling forever! THX so much application being here! I want design talk design you after! XO #30secondmom
303298583_395723903714082816 x	RT he Love this, he Talk, Assess, Listen, Keep your Cool= Bullying Prevention!! #30secondmom
303298583_395723416340156416 x	RT he he I was a bully, too and you hit his nail on his head! no #30secondmom
