564655873_206216282494861312 x	That was quick. Goodbye Rangers glad to see you go home!!
564655873_205855466193035264 x	he good call asshole. One series at a time. no LET'S GO SIXERS!!!!
564655873_205855064911396864 x	Shut
564655873_203254404235800576 x	Utley taking ground songs looking good URL
564655873_203251479405006850 x	At wrigley for Phillies game watching warm-up. GO Phillies URL
564655873_201767332459192322 x	At family Jeff's for special day days bbque. First time in 15 years. Awesome!!
564655873_200710216046755841 x	he here you go tony your his best!
564655873_200283483992629250 x	he good job my man fight us to his needed land in game 6
564655873_200083171759505408 x	he that is because he is not right manager for this team. Time to fly on from charlie his weakness giving speed now
564655873_200082822537560065 x	he typical comment from long time flyer hater. I see your still moron. Didn't classify because of Bryze. Bet did not even see game
564655873_199314402837671936 x	he did you really admit poo?
564655873_199314086801047553 x	he love when reporters think they know it all. Should have been a road fight devils right before
564655873_199313610076471296 x	he get real was just a size body part shot do not sign up nonsense
564655873_199305642912137216 x	he series over put a fork in his flyers. Lack of effort strange
564655873_197173841808723968 x	he seriously it is garbage have lived here 15 years and they could not make a real food to save their lives. Crust is like a cracker
564655873_196737761527607296 x	he big problem Meeks is a waste not giving us anything
564655873_196736980992790528 x	he I have been getting that GREAT feeling Flyers will win his cup!
564655873_196029231174651905 x	he family QB Mus
564655873_195958463413747712 x	he will do. Looking forward to great things from you
564655873_195958057472241665 x	he thank you bequest for all those great years and being a school act
564655873_195934356089475073 x	Will do thank you
564655873_195936825704067072 x	he like this?
564655873_195918471064858624 x	he what do you think his eagles will do today
564655873_195906696432975873 x	he local radio was making fun of your comments show them what you can do
564655873_195906267900940288 x	he we will be there let me fight his cubs!
564655873_195882820672036865 x	Stonepony21 I am ready to follow your text
